,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,15688,14120,1568,80,0.9333800023334501,21,12,7,5,9
1,2011,15743,14153,1590,92,1.0733870026834675,37,25,6,19,12
2,2012,15717,14137,1580,125,1.4584062536460156,44,32,9,23,12
3,2013,15778,14124,1654,130,1.5167425037918563,54,34,8,26,20
4,2014,15854,14169,1685,108,1.1943241429105218,65,45,11,34,20
5,2015,15974,14240,1734,87,0.962094448455698,81,62,16,46,19
6,2016,16003,14230,1773,126,1.3933429171735043,82,62,19,43,20
7,2017,16105,14271,1834,108,1.2090003358334267,98,74,18,56,24
8,2018,16145,14321,1824,93,1.0410836225232285,106,81,22,59,25
9,2019,16128,14312,1816,105,1.175416993171387,109,82,29,53,27
10,2020,16293,14420,1873,81,0.9067502518750701,131,99,33,66,32
